TABLE_NAME,COLUMN_NAME,COLUMN_TYPE
ali_para,FRAC_WILDCARDS_GAPS,4
ali_para,DIST_MIN,7
ali_para,DIST_MAX,7
ali_para,DIST_MEAN,7
ali_para,DIST_MEDIAN,7
ali_para,DIST_VAR,7
ali_para,PYTHIA_SCORE,9
branch_para,BL,10
branch_para,1_MIN_PATH,10
branch_para,1_MAX_PATH,10
branch_para,1_MEAN_PATH,10
branch_para,1_MEDIAN_PATH,10
branch_para,2_MIN_PATH,10
branch_para,2_MAX_PATH,10
branch_para,2_MEAN_PATH,10
branch_para,2_MEDIAN_PATH,10
model_para,LOGL,9
model_para,AIC,9
model_para,AICC,9
model_para,BIC,9
model_para,CAIC,9
model_para,ABIC,9
model_para,TREE_LENGTH,9
model_para,PROP_INVAR,9
model_para,ALPHA,9
model_para,FREQ_A,9
model_para,FREQ_R,9
model_para,FREQ_N,9
model_para,FREQ_D,9
model_para,FREQ_C,9
model_para,FREQ_Q,9
model_para,FREQ_E,9
model_para,FREQ_G,9
model_para,FREQ_H,9
model_para,FREQ_I,9
model_para,FREQ_L,9
model_para,FREQ_K,9
model_para,FREQ_M,9
model_para,FREQ_F,9
model_para,FREQ_P,9
model_para,FREQ_S,9
model_para,FREQ_T,9
model_para,FREQ_W,9
model_para,FREQ_Y,9
model_para,FREQ_V,9
model_para,PROP_CAT_1,9
model_para,REL_RATE_CAT_1,9
model_para,PROP_CAT_2,9
model_para,REL_RATE_CAT_2,9
model_para,PROP_CAT_3,9
model_para,REL_RATE_CAT_3,9
model_para,PROP_CAT_4,9
model_para,REL_RATE_CAT_4,9
model_para,PROP_CAT_5,9
model_para,REL_RATE_CAT_5,9
model_para,PROP_CAT_6,9
model_para,REL_RATE_CAT_6,9
model_para,PROP_CAT_7,9
model_para,REL_RATE_CAT_7,9
model_para,PROP_CAT_8,9
model_para,REL_RATE_CAT_8,9
model_para,PROP_CAT_9,9
model_para,REL_RATE_CAT_9,9
model_para,PROP_CAT_10,9
model_para,REL_RATE_CAT_10,9
seq_para,FRAC_WILDCARDS_GAPS,9
seq_para,CHI2_P_VALUE,2
seq_para,FREQ_A,9
seq_para,FREQ_R,9
seq_para,FREQ_N,9
seq_para,FREQ_D,9
seq_para,FREQ_C,9
seq_para,FREQ_Q,9
seq_para,FREQ_E,9
seq_para,FREQ_G,9
seq_para,FREQ_H,9
seq_para,FREQ_I,9
seq_para,FREQ_L,9
seq_para,FREQ_K,9
seq_para,FREQ_M,9
seq_para,FREQ_F,9
seq_para,FREQ_P,9
seq_para,FREQ_S,9
seq_para,FREQ_T,9
seq_para,FREQ_W,9
seq_para,FREQ_Y,9
seq_para,FREQ_V,9
tree_para,LOGL,9
tree_para,UNCONSTRAINED_LOGL,9
tree_para,AIC,9
tree_para,AICC,9
tree_para,BIC,9
tree_para,CAIC,9
tree_para,ABIC,9
tree_para,PROP_INVAR,9
tree_para,ALPHA,9
tree_para,FREQ_A,9
tree_para,FREQ_R,9
tree_para,FREQ_N,9
tree_para,FREQ_D,9
tree_para,FREQ_C,9
tree_para,FREQ_Q,9
tree_para,FREQ_E,9
tree_para,FREQ_G,9
tree_para,FREQ_H,9
tree_para,FREQ_I,9
tree_para,FREQ_L,9
tree_para,FREQ_K,9
tree_para,FREQ_M,9
tree_para,FREQ_F,9
tree_para,FREQ_P,9
tree_para,FREQ_S,9
tree_para,FREQ_T,9
tree_para,FREQ_W,9
tree_para,FREQ_Y,9
tree_para,FREQ_V,9
tree_para,PROP_CAT_1,9
tree_para,REL_RATE_CAT_1,9
tree_para,PROP_CAT_2,9
tree_para,REL_RATE_CAT_2,9
tree_para,PROP_CAT_3,9
tree_para,REL_RATE_CAT_3,9
tree_para,PROP_CAT_4,9
tree_para,REL_RATE_CAT_4,9
tree_para,PROP_CAT_5,9
tree_para,REL_RATE_CAT_5,9
tree_para,PROP_CAT_6,9
tree_para,REL_RATE_CAT_6,9
tree_para,PROP_CAT_7,9
tree_para,REL_RATE_CAT_7,9
tree_para,PROP_CAT_8,9
tree_para,REL_RATE_CAT_8,9
tree_para,PROP_CAT_9,9
tree_para,REL_RATE_CAT_9,9
tree_para,PROP_CAT_10,9
tree_para,REL_RATE_CAT_10,9
tree_para,TREE_LENGTH,10
tree_para,SUM_IBL,10
tree_para,TREE_DIAMETER,10
tree_para,DIST_MIN,7
tree_para,DIST_MAX,7
tree_para,DIST_MEAN,7
tree_para,DIST_MEDIAN,7
tree_para,DIST_VAR,7
tree_para,BL_MIN,10
tree_para,BL_MAX,10
tree_para,BL_MEAN,10
tree_para,BL_MEDIAN,10
tree_para,BL_VAR,10
tree_para,IBL_MIN,10
tree_para,IBL_MAX,10
tree_para,IBL_MEAN,10
tree_para,IBL_MEDIAN,10
tree_para,IBL_VAR,10
tree_para,EBL_MIN,10
tree_para,EBL_MAX,10
tree_para,EBL_MEAN,10
tree_para,EBL_MEDIAN,10
tree_para,EBL_VAR,10